objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,,WfYea0o0YHg,Barbecue Sauce Simmering,,2020-06-28,Video of the barbecue sauce simmering on the stove,,,,,,,Image;MovingImage,video/mp4,,,
coll002,,XRORBMAbBb0,Lamb Ragu Simmering,,2018-10-28,Video of the lamb ragu cooking on the stove,,,,,,,Image;MovingImage,video/mp4,,,
coll003,,k9MQEnFWRVw,French Vanilla Ice Cream Churning,,2017-07-18,Video of the French vanilla ice cream churning in the stand mixer,,,,,,,Image;MovingImage,video/mp4,,,
coll004,barbecue-chicken.jpg,,Barbecue Chicken,,2020-06-28,Photograph of the barbecue chicken thigh,chicken,,,,,,Image;StillImage,image/jpeg,,,
coll005,chana-masala.jpg,,Chana Masala,,2020-11-04,Photograph of the chana masala on top of basmati rice,,,,,,,Image;StillImage,image/jpeg,,,
coll006,french-vanilla-ice-cream.jpg,,French Vanilla Ice Cream,,2017-07-18,Photograph of three scoops of French vanilla ice cream in a bowl,,,,,,,Image;StillImage,image/jpeg,,,
coll007,lamb-ragu.jpg,,Pappardelle in Rich Lamb Ragu,,2018-10-28,Photograph of the lamb ragu on a serving platter on top of the fresh pappardelle,lamb,,,,,,Image;StillImage,image/jpeg,,,
coll008,macaroni-salad.jpg,,Macaroni Salad,,2018-07-04,Photograph of the macaroni salad,,,,,,,Image;StillImage,image/jpeg,,,
coll009,pork-tenderloin.jpg,,Roasted Pork Tenderloin,,2017-06-17,Photograph of the roasted pork tenderloin,pork,,,,,,Image;StillImage,image/jpeg,,,
coll010,macaroni-salad.pdf,,Macaroni Salad Recipe,,2018-07-04,Recipe for the macaroni salad,,,,,,,Text,application/pdf,eng,,
coll011,roasted-pork-tenderloin.pdf,,Roasted Pork Tenderloin Recipe,,2017-06-09,Recipe for the roasted pork tenderloin,pork,,,,,,Text,application/pdf,eng,,